"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8285,6.523,1.3733,2.75,0.82554,0,1.7075,0.49661,1.3074,1,0.218,0.218,0.2,0
1.8285,6.523,1.3733,2.75,0.82552,0,1.7075,0.49661,1.3073,1,0.22,0.22,0.2,0
1.8285,6.5229,1.3733,2.7499,0.82549,0,1.7075,0.4966,1.3073,1,0.222,0.222,0.2,0
1.8285,6.5229,1.3733,2.7499,0.82547,0,1.7075,0.4966,1.3073,1,0.224,0.224,0.2,0
1.8285,6.5229,1.3733,2.7499,0.82545,0,1.7075,0.4966,1.3073,1,0.226,0.226,0.2,0
1.8285,6.5229,1.3733,2.7499,0.82545,0,1.7075,0.49662,1.3073,1,0.228,0.228,0.2,0
1.8286,6.5229,1.3732,2.7499,0.82546,0,1.7076,0.49663,1.3073,1,0.23,0.23,0.2,0
1.8286,6.5229,1.3732,2.7499,0.82545,0,1.7076,0.49665,1.3074,1,0.232,0.232,0.2,0
1.8286,6.5229,1.3732,2.7499,0.82543,0,1.7076,0.49665,1.3074,1,0.234,0.234,0.2,0
1.8286,6.5229,1.3732,2.7499,0.82541,0,1.7076,0.49665,1.3073,1,0.236,0.236,0.2,0
1.8286,6.5228,1.3732,2.7498,0.8254,0,1.7076,0.49665,1.3073,1,0.238,0.238,0.2,0
1.8286,6.5228,1.3732,2.7498,0.82538,0,1.7076,0.49665,1.3073,1,0.24,0.24,0.2,0
1.8286,6.5228,1.3731,2.7498,0.82536,0,1.7076,0.49666,1.3073,1,0.242,0.242,0.2,0
1.8286,6.5227,1.3731,2.7498,0.82534,0,1.7076,0.49666,1.3073,1,0.244,0.244,0.2,0
1.8286,6.5227,1.3731,2.7498,0.82532,0,1.7076,0.49666,1.3073,1,0.246,0.246,0.2,0
1.8286,6.5227,1.3731,2.7497,0.8253,0,1.7076,0.49666,1.3073,1,0.248,0.248,0.2,0
1.8287,6.5227,1.3731,2.7498,0.82531,0,1.7076,0.49667,1.3073,1,0.25,0.25,0.2,0
1.8287,6.5228,1.3731,2.7498,0.82532,0,1.7077,0.49669,1.3074,1,0.252,0.252,0.2,0
1.8287,6.5229,1.3731,2.7498,0.82532,0,1.7077,0.4967,1.3074,1,0.254,0.254,0.2,0
1.8287,6.5229,1.3731,2.7498,0.82533,0,1.7077,0.49671,1.3074,1,0.256,0.256,0.2,0
1.8287,6.523,1.3731,2.7498,0.82534,0,1.7077,0.49672,1.3074,1,0.258,0.258,0.2,0
1.8288,6.5231,1.373,2.7498,0.82535,0,1.7078,0.49673,1.3074,1,0.26,0.26,0.2,0
1.8288,6.5231,1.373,2.7499,0.82536,0,1.7078,0.49675,1.3074,1,0.262,0.262,0.2,0
1.8288,6.5232,1.373,2.7499,0.82537,0,1.7078,0.49676,1.3074,1,0.264,0.264,0.2,0
1.8288,6.5233,1.373,2.7499,0.82537,0,1.7078,0.49677,1.3074,1,0.266,0.266,0.2,0
1.8288,6.5233,1.373,2.7499,0.82538,0,1.7079,0.49678,1.3074,1,0.268,0.268,0.2,0
1.8289,6.5234,1.373,2.7499,0.82539,0,1.7079,0.4968,1.3074,1,0.27,0.27,0.2,0
1.8289,6.5235,1.373,2.75,0.8254,0,1.7079,0.49681,1.3074,1,0.272,0.272,0.2,0
1.8289,6.5235,1.373,2.75,0.82541,0,1.7079,0.49682,1.3074,1,0.274,0.274,0.2,0
1.8289,6.5235,1.373,2.75,0.82542,0,1.7079,0.49682,1.3074,1,0.276,0.276,0.2,0
1.8289,6.5236,1.373,2.75,0.82542,0,1.7079,0.49683,1.3074,1,0.278,0.278,0.2,0
1.8289,6.5236,1.373,2.75,0.82541,0,1.7079,0.49683,1.3074,1,0.28,0.28,0.2,0
1.8289,6.5236,1.373,2.75,0.82541,0,1.708,0.49684,1.3074,1,0.282,0.282,0.2,0
1.8289,6.5236,1.3729,2.75,0.82541,0,1.708,0.49684,1.3074,1,0.284,0.284,0.2,0
1.829,6.5236,1.3729,2.7499,0.82541,0,1.708,0.49685,1.3074,1,0.286,0.286,0.2,0
1.829,6.5236,1.3729,2.7499,0.82541,0,1.708,0.49686,1.3074,1,0.288,0.288,0.2,0
1.829,6.5236,1.3729,2.7499,0.8254,0,1.708,0.49687,1.3074,1,0.29,0.29,0.2,0
