"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         190,      -6.447088652,      -6.241933016,      -6.551698828,      -5.914469435
          0,           0,         191,      -6.459318845,      -6.253344889,      -6.565209254,      -5.927453959
          0,           0,         192,      -6.471507639,      -6.264557746,        -6.5787199,      -5.940329967
          0,           0,         193,      -6.483565981,         -6.275491,      -6.592080546,      -5.952982071
          0,           0,         194,      -6.495395514,      -6.286051047,      -6.605134983,      -5.965279907
          0,           0,         195,      -6.506170882,      -6.299972739,      -6.624493593,      -5.980978241
          0,           0,         196,      -6.516279022,      -6.311482116,      -6.637991672,      -5.994904669
          0,           0,         197,        -6.5255724,      -6.321183143,      -6.648987215,      -6.006457274
          0,           0,         198,      -6.534153955,      -6.329217974,      -6.658519861,      -6.015697537
          0,           0,         199,      -6.542070399,      -6.335659958,      -6.666705272,       -6.02292736
          0,           0,         200,      -6.549367984,      -6.340656891,      -6.673322249,      -6.028591736
          0,           0,         201,      -6.556059012,      -6.344419387,      -6.678261498,      -6.033051988
          0,           0,         202,       -6.56211118,       -6.34716389,      -6.681630516,      -6.036444102
          0,           0,         203,      -6.568387358,      -6.351117439,      -6.686791203,      -6.041084078
          0,           0,         204,      -6.574830528,      -6.355825794,      -6.692501206,       -6.04653396
          0,           0,         205,      -6.581232171,      -6.360869647,      -6.698338083,      -6.052138709
          0,           0,         206,      -6.587520155,      -6.365998718,       -6.70401475,       -6.05760407
          0,           0,         207,      -6.593638162,      -6.371025105,      -6.709340277,      -6.062780822
          0,           0,         208,      -6.599553201,      -6.375839967,      -6.714221902,      -6.067616026
          0,           0,         209,      -6.605248897,      -6.380378845,      -6.718649335,      -6.072085861
          0,           0,         210,      -6.610730881,         -6.384644,      -6.722664131,      -6.076204999
          0,           0,         211,      -6.616012976,       -6.38866567,      -6.726405137,      -6.080003101
          0,           0,         212,      -6.621073009,       -6.39234466,       -6.72992415,      -6.083416272
          0,           0,         213,      -6.626040422,      -6.395937197,      -6.733272389,      -6.086682279
          0,           0,         214,      -6.630980958,      -6.399506238,      -6.736463325,      -6.089900976
          0,           0,         215,      -6.640256259,      -6.412114723,      -6.754568389,      -6.103559241
          0,           0,         216,      -6.648241755,      -6.421206548,      -6.763602336,      -6.114124661
          0,           0,         217,      -6.654489102,      -6.427309493,        -6.7685169,        -6.1206982
          0,           0,         218,      -6.659279784,      -6.430983863,      -6.771004924,      -6.123880304
          0,           0,         219,      -6.662819101,      -6.432617072,      -6.771556564,       -6.12447404
          0,           0,         220,      -6.665314586,      -6.432601306,      -6.770261109,       -6.12329177
          0,           0,         221,      -6.666925919,      -6.431247873,      -6.767331419,      -6.120860465
          0,           0,         222,       -6.66780641,      -6.428877466,      -6.763073449,      -6.117481936
          0,           0,         223,      -6.675979955,      -6.439935667,      -6.779510759,      -6.129183697
          0,           0,         224,      -6.683174592,      -6.447816266,      -6.786990087,      -6.138468672
