"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8087,6.4524,1.377,2.7301,0.80013,0,1.6859,0.48582,2.5076e-15,1.0588e-14,4.8731e-15,-8.2046e-16,0,1.305,1,0.21,0.21,0.2,0
1.8098,6.4564,1.3765,2.7309,0.80153,0,1.6874,0.48655,2.3207e-15,9.7693e-15,4.3462e-15,-6.3138e-16,0,1.3053,1,0.212,0.212,0.2,0
1.8111,6.4609,1.376,2.7318,0.80303,0,1.689,0.48736,2.1224e-15,8.9026e-15,3.7911e-15,-4.452e-16,0,1.3056,1,0.214,0.214,0.2,0
1.8139,6.4707,1.3747,2.7337,0.80585,0,1.6927,0.48921,1.7742e-15,7.4096e-15,2.865e-15,-2.9713e-16,0,1.3064,1,0.216,0.216,0.2,0
1.8168,6.4806,1.3733,2.7356,0.80867,0,1.6964,0.49106,1.426e-15,5.9166e-15,1.9388e-15,-1.4906e-16,0,1.3072,1,0.218,0.218,0.2,0
1.8197,6.4904,1.372,2.7375,0.8115,0,1.7001,0.49292,1.0778e-15,4.4236e-15,1.0127e-15,-9.8681e-19,0,1.308,1,0.22,0.22,0.2,0
1.8225,6.5002,1.3707,2.7394,0.81432,0,1.7038,0.49477,7.296e-16,2.9307e-15,8.6571e-17,1.4708e-16,0,1.3088,1,0.222,0.222,0.2,0
1.8254,6.5101,1.3694,2.7413,0.81714,0,1.7075,0.49662,3.814e-16,1.4377e-15,-8.3956e-16,2.9516e-16,0,1.3096,1,0.224,0.224,0.2,0
1.8283,6.5199,1.368,2.7432,0.81996,0,1.7112,0.49847,3.3198e-17,-5.5321e-17,-1.7657e-15,4.4323e-16,0,1.3104,1,0.226,0.226,0.2,0
1.8294,6.524,1.3675,2.7438,0.82123,0,1.7128,0.49926,-4.5956e-16,-1.6576e-15,-2.1861e-15,2.272e-16,0,1.3108,1,0.228,0.228,0.2,0
1.8291,6.5232,1.3675,2.7435,0.82118,0,1.7126,0.49914,-1.0734e-15,-3.3514e-15,-2.1827e-15,-2.9391e-16,0,1.3108,1,0.23,0.23,0.2,0
1.8289,6.5224,1.3675,2.7431,0.82114,0,1.7123,0.49902,-1.6873e-15,-5.0453e-15,-2.1793e-15,-8.1501e-16,0,1.3108,1,0.232,0.232,0.2,0
