"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8318,6.5325,1.3677,2.746,0.82805,0,1.7148,0.50026,6.691e-14,3.0428e-13,1.0967e-13,-9.882e-15,0,1.3106,1,0.214,0.214,0.2,0
1.8307,6.5285,1.3678,2.7447,0.82705,0,1.7137,0.49969,7.2368e-14,3.3487e-13,1.2343e-13,-1.853e-14,0,1.3105,1,0.216,0.216,0.2,0
1.8296,6.5248,1.368,2.7435,0.82608,0,1.7125,0.49913,7.1407e-14,3.4143e-13,1.2941e-13,-2.4295e-14,0,1.3104,1,0.218,0.218,0.2,0
1.8287,6.5222,1.3683,2.7429,0.8252,0,1.7116,0.49867,4.0945e-14,2.375e-13,9.9651e-14,-1.6811e-14,0,1.3103,1,0.22,0.22,0.2,0
1.8279,6.5196,1.3686,2.7422,0.82432,0,1.7107,0.49821,1.0484e-14,1.3356e-13,6.9896e-14,-9.3274e-15,0,1.3103,1,0.222,0.222,0.2,0
1.827,6.517,1.3688,2.7415,0.82344,0,1.7098,0.49775,-1.9978e-14,2.9628e-14,4.0142e-14,-1.8437e-15,0,1.3102,1,0.224,0.224,0.2,0
1.8261,6.5143,1.3691,2.7409,0.82255,0,1.7089,0.49729,-5.044e-14,-7.4305e-14,1.0387e-14,5.64e-15,0,1.3101,1,0.226,0.226,0.2,0
1.8253,6.5119,1.3693,2.7402,0.82174,0,1.7081,0.49689,-8.2408e-14,-1.7759e-13,-1.2276e-14,6.1781e-16,0,1.3101,1,0.228,0.228,0.2,0
1.8252,6.5111,1.369,2.7396,0.8214,0,1.7081,0.49689,-1.3613e-13,-3.3542e-13,-2.3875e-14,-5.639e-14,0,1.3102,1,0.23,0.23,0.2,0
1.825,6.5103,1.3688,2.7391,0.82106,0,1.708,0.49688,-1.8985e-13,-4.9324e-13,-3.5474e-14,-1.134e-13,0,1.3103,1,0.232,0.232,0.2,0
1.8249,6.5094,1.3686,2.7385,0.82072,0,1.708,0.49687,-2.4358e-13,-6.5106e-13,-4.7074e-14,-1.7041e-13,0,1.3104,1,0.234,0.234,0.2,0
1.8247,6.5086,1.3683,2.738,0.82038,0,1.708,0.49687,-2.973e-13,-8.0888e-13,-5.8673e-14,-2.2741e-13,0,1.3105,1,0.236,0.236,0.2,0
1.8246,6.5079,1.3682,2.7375,0.82016,0,1.708,0.49685,-3.7085e-13,-1.0172e-12,-7.3811e-14,-2.8964e-13,0,1.3105,1,0.238,0.238,0.2,0
1.8244,6.5074,1.3681,2.7371,0.82011,0,1.7079,0.49681,-4.7159e-13,-1.2949e-12,-9.3804e-14,-3.5904e-13,0,1.3106,1,0.24,0.24,0.2,0
1.8242,6.5069,1.368,2.7368,0.82006,0,1.7078,0.49678,-5.7234e-13,-1.5725e-12,-1.138e-13,-4.2844e-13,0,1.3107,1,0.242,0.242,0.2,0
1.8242,6.5065,1.3677,2.7363,0.82,0,1.708,0.49683,-7.1034e-13,-1.9536e-12,-1.491e-13,-5.1394e-13,0,1.3108,1,0.244,0.244,0.2,0
1.8242,6.5061,1.3674,2.7359,0.81994,0,1.7081,0.49691,-8.5646e-13,-2.3572e-12,-1.8774e-13,-6.0295e-13,0,1.3109,1,0.246,0.246,0.2,0
1.8242,6.5055,1.3672,2.7354,0.81987,0,1.7082,0.49694,-1.0714e-12,-2.9912e-12,-2.6611e-13,-7.741e-13,0,1.311,1,0.248,0.248,0.2,0
1.824,6.5047,1.3671,2.7349,0.81978,0,1.7081,0.4969,-1.3786e-12,-3.9337e-12,-3.9764e-13,-1.0551e-12,0,1.311,1,0.25,0.25,0.2,0
1.8238,6.5039,1.3669,2.7344,0.8197,0,1.708,0.49685,-1.6857e-12,-4.8761e-12,-5.2917e-13,-1.3362e-12,0,1.3111,1,0.252,0.252,0.2,0
1.8236,6.5031,1.3668,2.7338,0.81961,0,1.7079,0.49681,-1.9928e-12,-5.8185e-12,-6.607e-13,-1.6172e-12,0,1.3112,1,0.254,0.254,0.2,0
1.8235,6.5023,1.3666,2.7333,0.81953,0,1.7078,0.49677,-2.2999e-12,-6.761e-12,-7.9223e-13,-1.8982e-12,0,1.3112,1,0.256,0.256,0.2,0
1.8232,6.5012,1.3665,2.7327,0.81942,0,1.7076,0.49668,-2.6735e-12,-7.9212e-12,-9.5534e-13,-2.2268e-12,0,1.3112,1,0.258,0.258,0.2,0
1.8229,6.4997,1.3664,2.7321,0.81921,0,1.7073,0.49651,-3.1779e-12,-9.5001e-12,-1.1742e-12,-2.6648e-12,0,1.3112,1,0.26,0.26,0.2,0
1.8226,6.4982,1.3663,2.7315,0.819,0,1.707,0.49635,-3.6822e-12,-1.1079e-11,-1.3932e-12,-3.1028e-12,0,1.3112,1,0.262,0.262,0.2,0
1.8224,6.4967,1.3663,2.7308,0.81879,0,1.7067,0.49619,-4.1866e-12,-1.2658e-11,-1.6121e-12,-3.5408e-12,0,1.3111,1,0.264,0.264,0.2,0
1.8221,6.4952,1.3662,2.7302,0.81858,0,1.7063,0.49602,-4.6909e-12,-1.4237e-11,-1.831e-12,-3.9788e-12,0,1.3111,1,0.266,0.266,0.2,0
1.8217,6.4939,1.3661,2.7296,0.81834,0,1.7061,0.4959,-5.225e-12,-1.5706e-11,-1.9674e-12,-4.3767e-12,0,1.3111,1,0.268,0.268,0.2,0
1.8214,6.4927,1.366,2.729,0.8181,0,1.7058,0.49577,-5.7604e-12,-1.7169e-11,-2.1e-12,-4.7728e-12,0,1.3111,1,0.27,0.27,0.2,0
1.8212,6.4916,1.3659,2.7285,0.81793,0,1.7056,0.49565,-6.4076e-12,-1.9015e-11,-2.2979e-12,-5.2724e-12,0,1.3111,1,0.272,0.272,0.2,0
1.821,6.4907,1.3659,2.7281,0.81783,0,1.7054,0.49555,-7.1849e-12,-2.1315e-11,-2.5789e-12,-5.8983e-12,0,1.3111,1,0.274,0.274,0.2,0
1.8209,6.4898,1.3657,2.7276,0.81773,0,1.7053,0.49553,-8.2795e-12,-2.476e-11,-3.0934e-12,-6.8562e-12,0,1.3111,1,0.276,0.276,0.2,0
1.8208,6.489,1.3655,2.7271,0.81763,0,1.7053,0.4955,-9.3742e-12,-2.8206e-11,-3.6079e-12,-7.8142e-12,0,1.3112,1,0.278,0.278,0.2,0
1.8207,6.4883,1.3653,2.7266,0.81751,0,1.7053,0.49549,-1.0256e-11,-3.0879e-11,-3.9584e-12,-8.5586e-12,0,1.3112,1,0.28,0.28,0.2,0
1.8207,6.4878,1.3651,2.7262,0.8174,0,1.7053,0.49551,-1.1519e-11,-3.4905e-11,-4.5768e-12,-9.6918e-12,0,1.3113,1,0.282,0.282,0.2,0
