"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0104,3.8203,1.9909,2.0146,0.0076413,0,0.72463,0.005173,1.0344e-13,1.6674e-12,1.9293e-12,-6.333e-14,0,1.0037,1,0.11,0.11,0.2,0
1.0136,3.8306,1.9875,2.0186,0.01017,0,0.72797,0.0068406,1.2216e-14,1.6471e-12,1.8195e-12,-1.0392e-13,0,1.0051,1,0.112,0.112,0.2,0
1.0167,3.8408,1.9841,2.0227,0.012699,0,0.7313,0.0085081,-7.9013e-14,1.6268e-12,1.7097e-12,-1.445e-13,0,1.0065,1,0.114,0.114,0.2,0
1.0199,3.8511,1.9807,2.0267,0.015228,0,0.73464,0.010176,-1.7024e-13,1.6065e-12,1.5998e-12,-1.8509e-13,0,1.008,1,0.116,0.116,0.2,0
1.023,3.8614,1.9773,2.0308,0.017757,0,0.73797,0.011843,-2.6147e-13,1.5862e-12,1.49e-12,-2.2568e-13,0,1.0094,1,0.118,0.118,0.2,0
1.0261,3.8717,1.9738,2.0348,0.020286,0,0.74131,0.013511,-3.527e-13,1.5659e-12,1.3801e-12,-2.6626e-13,0,1.0108,1,0.12,0.12,0.2,0
1.0293,3.8819,1.9704,2.0389,0.022814,0,0.74464,0.015178,-4.4393e-13,1.5456e-12,1.2703e-12,-3.0685e-13,0,1.0122,1,0.122,0.122,0.2,0
1.0324,3.8922,1.967,2.0429,0.025343,0,0.74798,0.016846,-5.3515e-13,1.5253e-12,1.1604e-12,-3.4744e-13,0,1.0137,1,0.124,0.124,0.2,0
1.0356,3.9025,1.9636,2.047,0.027872,0,0.75131,0.018513,-6.2638e-13,1.505e-12,1.0506e-12,-3.8803e-13,0,1.0151,1,0.126,0.126,0.2,0
1.0387,3.9128,1.9601,2.0511,0.030401,0,0.75465,0.020181,-7.1761e-13,1.4847e-12,9.4075e-13,-4.2861e-13,0,1.0165,1,0.128,0.128,0.2,0
